"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.01.2021","3.801,19","3.801,62","3.810,78","3.776,51","","0,04%"
"11.01.2021","3.799,61","3.803,14","3.817,86","3.789,02","","-0,66%"
"08.01.2021","3.824,68","3.815,05","3.826,69","3.783,60","","0,55%"
"07.01.2021","3.803,79","3.764,71","3.811,55","3.764,71","","1,48%"
"06.01.2021","3.748,14","3.712,20","3.783,04","3.705,34","","0,57%"
"05.01.2021","3.726,86","3.698,02","3.737,83","3.695,07","","0,71%"
"04.01.2021","3.700,65","3.764,61","3.769,99","3.662,71","","-1,48%"
"31.12.2020","3.756,07","3.733,27","3.760,20","3.726,88","","0,64%"
"30.12.2020","3.732,04","3.736,19","3.744,63","3.730,21","","0,13%"
"29.12.2020","3.727,04","3.750,01","3.756,12","3.723,31","","-0,22%"
"28.12.2020","3.735,36","3.723,03","3.740,51","3.723,03","","0,87%"
"24.12.2020","3.703,06","3.694,03","3.703,82","3.689,32","","0,35%"
"23.12.2020","3.690,01","3.693,42","3.711,24","3.689,28","","0,07%"
"22.12.2020","3.687,26","3.698,08","3.698,26","3.676,16","","-0,21%"
"21.12.2020","3.694,92","3.684,28","3.702,90","3.636,48","","-0,39%"
"18.12.2020","3.709,41","3.722,39","3.726,70","3.685,84","","-0,35%"
"17.12.2020","3.722,48","3.713,65","3.725,12","3.710,87","","0,58%"
"16.12.2020","3.701,17","3.696,25","3.711,27","3.688,57","","0,18%"
"15.12.2020","3.694,62","3.666,41","3.695,29","3.659,62","","1,29%"
"14.12.2020","3.647,49","3.675,27","3.697,61","3.645,84","","-0,44%"
"11.12.2020","3.663,46","3.656,08","3.665,91","3.633,40","","-0,13%"
"10.12.2020","3.668,10","3.659,13","3.678,49","3.645,18","","-0,13%"
"09.12.2020","3.672,82","3.705,98","3.712,39","3.660,54","","-0,79%"
"08.12.2020","3.702,25","3.683,05","3.708,45","3.678,83","","0,28%"
"07.12.2020","3.691,96","3.694,73","3.697,41","3.678,88","","-0,19%"
"04.12.2020","3.699,12","3.670,94","3.699,20","3.670,94","","0,88%"
"03.12.2020","3.666,72","3.668,28","3.682,73","3.657,17","","-0,06%"
"02.12.2020","3.669,01","3.653,78","3.670,96","3.644,84","","0,18%"
"01.12.2020","3.662,45","3.645,87","3.678,45","3.645,87","","1,13%"
"30.11.2020","3.621,63","3.634,18","3.634,18","3.594,39","","-0,46%"
"27.11.2020","3.638,35","3.638,55","3.644,31","3.629,33","","0,24%"
"25.11.2020","3.629,65","3.635,50","3.635,50","3.617,76","","-0,16%"
"24.11.2020","3.635,41","3.594,52","3.642,31","3.594,52","","1,62%"
"23.11.2020","3.577,59","3.566,82","3.589,81","3.552,77","","0,56%"
"20.11.2020","3.557,54","3.579,31","3.581,23","3.556,85","","-0,68%"
"19.11.2020","3.581,87","3.559,41","3.585,22","3.543,84","","0,39%"
"18.11.2020","3.567,79","3.612,09","3.619,09","3.567,33","","-1,16%"
"17.11.2020","3.609,53","3.610,31","3.623,11","3.588,68","","-0,48%"
"16.11.2020","3.626,91","3.600,16","3.628,51","3.600,16","","1,16%"
"13.11.2020","3.585,15","3.552,57","3.593,66","3.552,57","","1,36%"
"12.11.2020","3.537,01","3.562,67","3.569,02","3.518,58","","-1,00%"
"11.11.2020","3.572,66","3.563,22","3.581,16","3.557,00","","0,77%"
"10.11.2020","3.545,53","3.543,26","3.557,22","3.511,91","","-0,14%"
"09.11.2020","3.550,50","3.583,04","3.645,99","3.547,48","","1,17%"
"06.11.2020","3.509,44","3.508,34","3.521,58","3.484,34","","-0,03%"
"05.11.2020","3.510,45","3.485,74","3.529,05","3.485,74","","1,95%"
"04.11.2020","3.443,44","3.406,46","3.486,25","3.405,17","","2,20%"
"03.11.2020","3.369,16","3.336,25","3.389,49","3.336,25","","1,78%"
"02.11.2020","3.310,24","3.296,20","3.330,14","3.279,74","","1,23%"
"30.10.2020","3.269,96","3.293,59","3.304,93","3.233,94","","-1,21%"
"29.10.2020","3.310,11","3.277,17","3.341,05","3.259,82","","1,19%"
"28.10.2020","3.271,03","3.342,48","3.342,48","3.268,89","","-3,53%"
"27.10.2020","3.390,68","3.403,15","3.409,51","3.388,71","","-0,30%"
"26.10.2020","3.400,97","3.441,42","3.441,42","3.364,86","","-1,86%"
"23.10.2020","3.465,39","3.464,90","3.466,46","3.440,45","","0,34%"
"22.10.2020","3.453,49","3.438,50","3.460,53","3.415,34","","0,52%"
"21.10.2020","3.435,56","3.439,91","3.464,86","3.433,06","","-0,22%"
"20.10.2020","3.443,12","3.439,38","3.476,93","3.435,65","","0,47%"
"19.10.2020","3.426,92","3.493,66","3.502,42","3.419,93","","-1,63%"
"16.10.2020","3.483,81","3.493,50","3.515,76","3.480,45","","0,01%"
"15.10.2020","3.483,34","3.453,72","3.489,08","3.440,89","","-0,15%"
"14.10.2020","3.488,67","3.515,47","3.527,94","3.480,55","","-0,66%"
"13.10.2020","3.511,93","3.534,01","3.534,01","3.500,86","","-0,63%"
"12.10.2020","3.534,22","3.500,02","3.549,85","3.499,61","","1,64%"
"09.10.2020","3.477,13","3.459,67","3.482,34","3.458,07","","0,88%"
"08.10.2020","3.446,83","3.434,28","3.447,28","3.428,15","","0,80%"
"07.10.2020","3.419,45","3.384,56","3.426,26","3.384,56","","1,74%"
"06.10.2020","3.360,95","3.408,74","3.431,56","3.354,54","","-1,40%"
"05.10.2020","3.408,63","3.367,27","3.409,57","3.367,27","","1,80%"
"02.10.2020","3.348,44","3.338,94","3.369,10","3.323,69","","-0,96%"
"01.10.2020","3.380,80","3.385,87","3.397,18","3.361,39","","0,53%"
"30.09.2020","3.363,00","3.341,21","3.393,56","3.340,47","","0,83%"
"29.09.2020","3.335,47","3.350,92","3.357,92","3.327,54","","-0,48%"
"28.09.2020","3.351,60","3.333,90","3.360,74","3.332,91","","1,61%"
"25.09.2020","3.298,46","3.236,66","3.306,88","3.228,44","","1,60%"
"24.09.2020","3.246,59","3.226,14","3.278,70","3.209,45","","0,30%"
"23.09.2020","3.236,92","3.320,11","3.323,35","3.232,57","","-2,37%"
"22.09.2020","3.315,57","3.295,75","3.320,31","3.270,95","","1,05%"
"21.09.2020","3.281,06","3.285,57","3.285,57","3.229,10","","-1,16%"
"18.09.2020","3.319,47","3.357,38","3.362,27","3.292,40","","-1,12%"
"17.09.2020","3.357,01","3.346,86","3.375,17","3.328,82","","-0,84%"
"16.09.2020","3.385,49","3.411,23","3.428,92","3.384,45","","-0,46%"
"15.09.2020","3.401,20","3.407,73","3.419,48","3.389,25","","0,52%"
"14.09.2020","3.383,54","3.363,56","3.402,93","3.363,56","","1,27%"
"11.09.2020","3.340,97","3.352,70","3.368,95","3.310,47","","0,05%"
"10.09.2020","3.339,19","3.412,56","3.425,55","3.329,25","","-1,76%"
"09.09.2020","3.398,96","3.369,82","3.424,77","3.366,84","","2,01%"
"08.09.2020","3.331,84","3.371,88","3.379,97","3.329,27","","-2,78%"
"04.09.2020","3.426,96","3.453,60","3.479,15","3.349,63","","-0,81%"
"03.09.2020","3.455,06","3.564,74","3.564,85","3.427,41","","-3,51%"
"02.09.2020","3.580,84","3.543,76","3.588,11","3.535,23","","1,54%"
"01.09.2020","3.526,65","3.507,44","3.528,03","3.494,60","","0,75%"
"31.08.2020","3.500,31","3.509,73","3.514,77","3.493,25","","-0,22%"
"28.08.2020","3.508,01","3.494,69","3.509,23","3.484,32","","0,67%"
"27.08.2020","3.484,55","3.485,14","3.501,38","3.468,35","","0,17%"
"26.08.2020","3.478,73","3.449,97","3.481,07","3.444,15","","1,02%"
"25.08.2020","3.443,62","3.435,95","3.444,21","3.425,84","","0,36%"
"24.08.2020","3.431,28","3.418,09","3.432,09","3.413,13","","1,00%"
"21.08.2020","3.397,16","3.386,01","3.399,96","3.379,31","","0,34%"
"20.08.2020","3.385,51","3.360,48","3.390,80","3.354,69","","0,32%"
"19.08.2020","3.374,85","3.392,51","3.399,54","3.369,66","","-0,44%"
"18.08.2020","3.389,78","3.387,04","3.395,06","3.370,15","","0,23%"
"17.08.2020","3.381,99","3.380,86","3.387,59","3.379,22","","0,27%"
"14.08.2020","3.372,85","3.368,66","3.378,51","3.361,64","","-0,02%"
"13.08.2020","3.373,43","3.372,95","3.387,24","3.363,35","","-0,20%"
"12.08.2020","3.380,35","3.355,46","3.387,89","3.355,46","","1,40%"
"11.08.2020","3.333,69","3.370,34","3.381,01","3.326,44","","-0,80%"
"10.08.2020","3.360,47","3.356,04","3.363,29","3.335,44","","0,27%"
"07.08.2020","3.351,28","3.340,05","3.352,54","3.328,72","","0,06%"
"06.08.2020","3.349,16","3.323,17","3.351,03","3.318,14","","0,64%"
"05.08.2020","3.327,77","3.317,37","3.330,77","3.317,37","","0,64%"
"04.08.2020","3.306,51","3.289,92","3.306,84","3.286,37","","0,36%"
"03.08.2020","3.294,61","3.288,26","3.302,73","3.284,53","","0,72%"
"31.07.2020","3.271,12","3.270,45","3.272,17","3.220,26","","0,77%"
"30.07.2020","3.246,22","3.231,76","3.250,92","3.204,13","","-0,38%"
"29.07.2020","3.258,44","3.227,22","3.264,74","3.227,22","","1,24%"
"28.07.2020","3.218,44","3.234,27","3.243,72","3.216,17","","-0,65%"
"27.07.2020","3.239,41","3.219,84","3.241,43","3.214,25","","0,74%"
"24.07.2020","3.215,63","3.218,58","3.227,26","3.200,05","","-0,62%"
"23.07.2020","3.235,66","3.271,64","3.279,99","3.222,66","","-1,23%"
"22.07.2020","3.276,02","3.254,86","3.279,32","3.253,10","","0,57%"
"21.07.2020","3.257,30","3.268,52","3.277,29","3.247,77","","0,17%"
"20.07.2020","3.251,84","3.224,29","3.258,61","3.215,16","","0,84%"
"17.07.2020","3.224,73","3.224,21","3.233,52","3.205,65","","0,28%"
"16.07.2020","3.215,57","3.208,36","3.220,39","3.198,59","","-0,34%"
"15.07.2020","3.226,56","3.225,98","3.238,28","3.200,76","","0,91%"
"14.07.2020","3.197,52","3.141,11","3.200,95","3.127,66","","1,34%"
"13.07.2020","3.155,22","3.205,08","3.235,32","3.149,43","","-0,94%"
"10.07.2020","3.185,04","3.152,47","3.186,82","3.136,22","","1,05%"
"09.07.2020","3.152,05","3.176,17","3.179,78","3.115,70","","-0,56%"
"08.07.2020","3.169,94","3.153,07","3.171,80","3.136,53","","0,78%"
"07.07.2020","3.145,32","3.166,44","3.184,15","3.142,93","","-1,08%"
"06.07.2020","3.179,72","3.155,29","3.182,59","3.155,29","","1,59%"
"02.07.2020","3.130,01","3.143,64","3.165,81","3.124,52","","0,45%"
"01.07.2020","3.115,86","3.105,92","3.128,44","3.101,17","","0,50%"
"30.06.2020","3.100,29","3.050,20","3.111,51","3.047,83","","1,54%"
"29.06.2020","3.053,24","3.018,59","3.053,89","2.999,74","","1,47%"
"26.06.2020","3.009,05","3.073,20","3.073,73","3.004,63","","-2,42%"
"25.06.2020","3.083,76","3.046,60","3.086,25","3.024,01","","1,10%"
"24.06.2020","3.050,33","3.114,40","3.115,01","3.032,13","","-2,59%"
"23.06.2020","3.131,29","3.138,70","3.154,90","3.127,12","","0,43%"
"22.06.2020","3.117,86","3.094,42","3.120,92","3.079,39","","0,65%"
"19.06.2020","3.097,74","3.140,29","3.155,53","3.083,11","","-0,56%"
"18.06.2020","3.115,34","3.101,64","3.120,00","3.093,51","","0,06%"
"17.06.2020","3.113,49","3.136,13","3.141,16","3.108,03","","-0,36%"
"16.06.2020","3.124,74","3.131,00","3.153,45","3.076,06","","1,90%"
"15.06.2020","3.066,59","2.993,76","3.079,76","2.965,66","","0,83%"
"12.06.2020","3.041,31","3.071,04","3.088,42","2.984,47","","1,31%"
"11.06.2020","3.002,10","3.123,53","3.123,53","2.999,49","","-5,89%"
"10.06.2020","3.190,14","3.213,42","3.223,27","3.181,49","","-0,53%"
"09.06.2020","3.207,18","3.213,32","3.222,71","3.193,11","","-0,78%"
"08.06.2020","3.232,39","3.199,92","3.233,13","3.196,00","","1,20%"
"05.06.2020","3.193,93","3.163,84","3.211,72","3.163,84","","2,62%"
"04.06.2020","3.112,35","3.111,56","3.128,91","3.090,41","","-0,34%"
"03.06.2020","3.122,87","3.098,90","3.130,94","3.098,90","","1,36%"
"02.06.2020","3.080,82","3.064,78","3.081,07","3.051,64","","0,82%"
"01.06.2020","3.055,73","3.038,78","3.062,18","3.031,54","","0,38%"
"29.05.2020","3.044,31","3.025,17","3.049,17","2.998,61","","0,48%"
"28.05.2020","3.029,73","3.046,61","3.068,67","3.023,40","","-0,21%"
"27.05.2020","3.036,13","3.015,65","3.036,25","2.969,75","","1,48%"
"26.05.2020","2.991,77","3.004,08","3.021,72","2.988,17","","1,23%"
"22.05.2020","2.955,45","2.948,05","2.956,76","2.933,59","","0,24%"
"21.05.2020","2.948,51","2.969,95","2.978,50","2.938,57","","-0,78%"
"20.05.2020","2.971,61","2.953,63","2.980,29","2.953,63","","1,67%"
"19.05.2020","2.922,94","2.948,59","2.964,21","2.922,35","","-1,05%"
"18.05.2020","2.953,91","2.913,86","2.968,09","2.913,86","","3,15%"
"15.05.2020","2.863,70","2.829,95","2.865,01","2.816,78","","0,39%"
"14.05.2020","2.852,50","2.794,54","2.852,80","2.766,64","","1,15%"
"13.05.2020","2.820,00","2.865,86","2.874,14","2.793,15","","-1,75%"
"12.05.2020","2.870,12","2.939,50","2.945,82","2.869,59","","-2,05%"
"11.05.2020","2.930,32","2.915,46","2.944,25","2.903,44","","0,02%"
"08.05.2020","2.929,80","2.908,83","2.932,16","2.902,88","","1,69%"
"07.05.2020","2.881,19","2.878,26","2.901,92","2.876,48","","1,15%"
"06.05.2020","2.848,42","2.883,14","2.891,11","2.847,65","","-0,70%"
"05.05.2020","2.868,44","2.868,88","2.898,23","2.863,55","","0,90%"
"04.05.2020","2.842,74","2.815,01","2.844,24","2.797,85","","0,42%"
"01.05.2020","2.830,71","2.869,09","2.869,09","2.821,61","","-2,81%"
"30.04.2020","2.912,43","2.930,91","2.930,91","2.892,47","","-0,92%"
"29.04.2020","2.939,51","2.918,46","2.954,86","2.912,16","","2,66%"
"28.04.2020","2.863,39","2.909,96","2.921,15","2.860,71","","-0,52%"
"27.04.2020","2.878,48","2.854,65","2.887,72","2.852,89","","1,47%"
"24.04.2020","2.836,74","2.812,64","2.842,71","2.791,76","","1,39%"
"23.04.2020","2.797,80","2.810,42","2.844,90","2.794,26","","-0,05%"
"22.04.2020","2.799,31","2.787,89","2.815,10","2.775,95","","2,29%"
"21.04.2020","2.736,56","2.784,81","2.785,54","2.727,10","","-3,07%"
"20.04.2020","2.823,16","2.845,62","2.868,98","2.820,43","","-1,79%"
"17.04.2020","2.874,56","2.842,43","2.879,22","2.830,88","","2,68%"
"16.04.2020","2.799,55","2.799,34","2.806,51","2.764,32","","0,58%"
"15.04.2020","2.783,36","2.795,64","2.801,88","2.761,54","","-2,20%"
"14.04.2020","2.846,06","2.805,10","2.851,85","2.805,10","","3,06%"
"13.04.2020","2.761,63","2.782,46","2.782,46","2.721,17","","-1,01%"
"09.04.2020","2.789,82","2.776,99","2.818,57","2.762,36","","1,45%"
"08.04.2020","2.749,98","2.685,00","2.760,75","2.663,30","","3,41%"
"07.04.2020","2.659,41","2.738,65","2.756,89","2.657,67","","-0,16%"
"06.04.2020","2.663,68","2.578,28","2.676,85","2.574,57","","7,03%"
"03.04.2020","2.488,65","2.514,92","2.538,18","2.459,96","","-1,51%"
"02.04.2020","2.526,90","2.458,54","2.533,22","2.455,79","","2,28%"
"01.04.2020","2.470,50","2.498,08","2.522,75","2.447,49","","-4,41%"
"31.03.2020","2.584,59","2.614,69","2.641,39","2.571,15","","-1,60%"
"30.03.2020","2.626,65","2.558,98","2.631,80","2.545,28","","3,35%"
"27.03.2020","2.541,47","2.555,87","2.615,91","2.520,02","","-3,37%"
"26.03.2020","2.630,07","2.501,29","2.637,01","2.500,72","","6,24%"
"25.03.2020","2.475,56","2.457,77","2.571,42","2.407,53","","1,15%"
"24.03.2020","2.447,33","2.344,44","2.449,71","2.344,44","","9,38%"
"23.03.2020","2.237,40","2.290,71","2.300,73","2.191,86","","-2,93%"
"20.03.2020","2.304,92","2.431,94","2.453,01","2.295,56","","-4,34%"
"19.03.2020","2.409,39","2.393,48","2.466,97","2.319,78","","0,47%"
"18.03.2020","2.398,10","2.436,50","2.453,57","2.280,52","","-5,18%"
"17.03.2020","2.529,19","2.425,66","2.553,93","2.367,04","","6,00%"
"16.03.2020","2.386,13","2.508,59","2.562,98","2.380,94","","-11,98%"
"13.03.2020","2.711,02","2.569,99","2.711,33","2.492,37","","9,29%"
"12.03.2020","2.480,64","2.630,86","2.660,95","2.478,86","","-9,51%"
"11.03.2020","2.741,38","2.825,60","2.825,60","2.707,22","","-4,89%"
"10.03.2020","2.882,23","2.813,48","2.882,59","2.734,00","","4,94%"
"09.03.2020","2.746,56","2.863,89","2.863,89","2.734,43","","-7,60%"
"06.03.2020","2.972,37","2.954,20","2.985,93","2.901,54","","-1,71%"
"05.03.2020","3.023,94","3.075,70","3.083,04","2.999,83","","-3,39%"
"04.03.2020","3.130,12","3.045,75","3.130,97","3.034,38","","4,22%"
"03.03.2020","3.003,37","3.096,46","3.136,72","2.976,63","","-2,81%"
"02.03.2020","3.090,23","2.974,28","3.090,96","2.945,19","","4,60%"
"28.02.2020","2.954,22","2.916,90","2.959,72","2.855,84","","-0,82%"
"27.02.2020","2.978,76","3.062,54","3.097,07","2.977,39","","-4,42%"
"26.02.2020","3.116,39","3.139,90","3.182,51","3.108,99","","-0,38%"
"25.02.2020","3.128,21","3.238,94","3.246,99","3.118,77","","-3,03%"
"24.02.2020","3.225,89","3.257,61","3.259,81","3.214,65","","-3,35%"
"21.02.2020","3.337,75","3.360,50","3.360,76","3.328,45","","-1,05%"
"20.02.2020","3.373,23","3.380,45","3.389,15","3.341,02","","-0,38%"
"19.02.2020","3.386,15","3.380,39","3.393,52","3.378,83","","0,47%"
"18.02.2020","3.370,29","3.369,04","3.375,01","3.355,61","","-0,29%"
"14.02.2020","3.380,16","3.378,08","3.380,69","3.366,15","","0,18%"
"13.02.2020","3.373,94","3.365,90","3.385,09","3.360,52","","-0,16%"
"12.02.2020","3.379,45","3.370,50","3.381,47","3.369,72","","0,65%"
"11.02.2020","3.357,75","3.365,87","3.375,63","3.352,72","","0,17%"
"10.02.2020","3.352,09","3.318,28","3.352,26","3.317,77","","0,73%"
"07.02.2020","3.327,71","3.335,54","3.341,42","3.322,12","","-0,54%"
"06.02.2020","3.345,78","3.344,92","3.347,96","3.334,39","","0,33%"
"05.02.2020","3.334,69","3.324,91","3.337,58","3.313,75","","1,13%"
"04.02.2020","3.297,59","3.280,61","3.306,92","3.280,61","","1,50%"
"03.02.2020","3.248,92","3.235,66","3.268,44","3.235,66","","0,73%"
"31.01.2020","3.225,52","3.282,33","3.282,33","3.214,68","","-1,77%"
"30.01.2020","3.283,66","3.256,45","3.285,91","3.242,80","","0,31%"
"29.01.2020","3.273,40","3.289,46","3.293,47","3.271,89","","-0,09%"
"28.01.2020","3.276,24","3.255,35","3.285,78","3.253,22","","1,01%"
"27.01.2020","3.243,63","3.247,16","3.258,85","3.234,50","","-1,57%"
"24.01.2020","3.295,47","3.333,10","3.333,18","3.281,53","","-0,90%"
"23.01.2020","3.325,54","3.315,77","3.326,88","3.301,87","","0,11%"
"22.01.2020","3.321,75","3.330,02","3.337,77","3.320,04","","0,03%"
"21.01.2020","3.320,79","3.321,03","3.329,79","3.316,61","","-0,27%"
"17.01.2020","3.329,62","3.323,66","3.329,88","3.318,86","","0,39%"
"16.01.2020","3.316,81","3.302,97","3.317,11","3.302,82","","0,84%"
"15.01.2020","3.289,29","3.282,27","3.298,66","3.280,69","","0,19%"
"14.01.2020","3.283,15","3.285,35","3.294,25","3.277,19","","-0,15%"
"13.01.2020","3.288,13","3.271,13","3.288,13","3.268,43","","0,70%"
"10.01.2020","3.265,35","3.281,81","3.282,99","3.260,86","","-0,29%"
"09.01.2020","3.274,70","3.266,03","3.275,58","3.263,67","","0,67%"
"08.01.2020","3.253,05","3.238,59","3.267,07","3.236,67","","0,49%"
"07.01.2020","3.237,18","3.241,86","3.244,91","3.232,43","","-0,28%"
"06.01.2020","3.246,28","3.217,55","3.246,84","3.214,64","","0,35%"
"03.01.2020","3.234,85","3.226,36","3.246,15","3.222,34","","-0,71%"
"02.01.2020","3.257,85","3.244,67","3.258,14","3.235,53","","0,84%"
